Transaction Date,Ticker,Full Name,Transaction,Amount (USD),Description
2020-06-24,AMERICAN EXPRESS COMPANY,AXP,Purchase,"100,001 - 250,000",Purchased 50 Call Options
2020-06-24,"PAYPAL HOLDINGS, INC.",PYPL,Purchase,"250,001 - 500,000",Purchased 50 Call Options
2020-06-18,APPLE INC.,AAPL,Sale,"1,000,001 - 5,000,000",Sold 100 Call Options
2020-06-18,SALESFORCE.COM INC,CRM,Purchase,"1,000,001 - 5,000,000",Exercised 100 Call Options
2020-06-18,"NETFLIX, INC.",NFLX,Purchase,"1,000,001 - 5,000,000",Exercised 50 Call Options
2020-06-12,"PAYPAL HOLDINGS, INC.",PYPL,Purchase,"500,001 - 1,000,000","Purchased 5,000 Shares"
2020-06-12,"PAYPAL HOLDINGS, INC.",PYPL,Purchase,"500,001 - 1,000,000","Purchased 5,000 Shares"
2020-05-08,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Sold 1,700 Shares"
2020-05-08,APPLE INC.,AAPL,Sale,"500,001 - 1,000,000","Sold 3,000 Shares"
2020-05-08,APPLE INC.,AAPL,Sale,"1,000,001 - 5,000,000","Sold 3,300 Shares"
2020-05-08,"FACEBOOK, INC.",FB,Sale,"1,000,001 - 5,000,000","Sold 5,000 Shares"
2020-05-08,"INTERACTIVE BROKERS GROUP, INC.",IBKR,Sale,"100,001 - 250,000","Sold 3,000 Shares"
2020-05-08,"MORNINGSTAR, INC.",MORN,Sale,"100,001 - 250,000","Sold 1,700 Shares"
2020-05-08,VISA INC.,V,Sale,"500,001 - 1,000,000","Sold 3,000 Shares"
2020-05-08,VISA INC.,V,Sale,"500,001 - 1,000,000","Sold 3,000 Shares"
2020-02-28,MICROSOFT CORPORATION,MSFT,Purchase,"100,001 - 250,000",Purchased 50 Call Options
2020-02-27,ALPHABET INC.,GOOGL,Purchase,"500,001 - 1,000,000",Purchased 40 Call Options
2020-02-21,MICROSOFT CORPORATION,MSFT,Purchase,"500,001 - 1,000,000",Purchased 100 Call Options
2020-02-20,MICROSOFT CORPORATION,MSFT,Purchase,"250,001 - 500,000",Purchased 100 Call Options
2020-02-20,"SLACK TECHNOLOGIES, INC. CLASS A",WORK,Purchase,"250,001 - 500,000","Purchased 10,000 Shares"
2020-01-16,"AMAZON.COM, INC.",AMZN,Sale,"250,001 - 500,000",Sold 20 Call Options
2020-01-16,"AMAZON.COM, INC.",AMZN,Purchase,"1,000,001 - 5,000,000",Exercised 30 Call Options
2020-01-16,"AMAZON.COM, INC.",AMZN,Sale,"250,001 - 500,000",Sold 20 Call Options
2020-01-16,"FACEBOOK, INC.",FB,Purchase,"250,001 - 500,000",Exercised 30 Call Options
2020-01-16,"FACEBOOK, INC.",FB,Purchase,"250,001 - 500,000",Exercised 20 Call Options
